
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.718
  alpha =    4.003    CLtot =    0.693
  beta  =    0.000

  Sref  =   122.47400
  Bref  =    37.35600
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.343669         0.705037E-01
    0.0414  0.323312         0.635904E-01
    0.1242  0.283216         0.510170E-01
    0.2070  0.244797         0.400713E-01
    0.2826  0.211697         0.314356E-01
    0.3509  0.183338         0.246786E-01
    0.4192  0.156330         0.188687E-01
    0.4876  0.130737         0.139585E-01
    0.5559  0.106662         0.989785E-02
    0.6242  0.842220E-01     0.663283E-02
    0.6925  0.635404E-01     0.410539E-02
    0.7609  0.447539E-01     0.225304E-02
    0.8292  0.280353E-01     0.100800E-02
    0.8975  0.136682E-01     0.294673E-03
    0.9658  0.237291E-02     0.202940E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.343669        -0.705037E-01
   -0.0414  0.323312        -0.635904E-01
   -0.1242  0.283216        -0.510170E-01
   -0.2070  0.244797        -0.400713E-01
   -0.2826  0.211697        -0.314356E-01
   -0.3509  0.183338        -0.246786E-01
   -0.4192  0.156330        -0.188687E-01
   -0.4876  0.130737        -0.139585E-01
   -0.5559  0.106662        -0.989785E-02
   -0.6242  0.842220E-01    -0.663283E-02
   -0.6925  0.635404E-01    -0.410539E-02
   -0.7609  0.447539E-01    -0.225304E-02
   -0.8292  0.280353E-01    -0.100800E-02
   -0.8975  0.136682E-01    -0.294673E-03
   -0.9658  0.237291E-02    -0.202940E-04
   -1.0000   0.00000          0.00000    
