      chord_R      taper_M      twist_R      twist_M    taper_tip         span    sweep_tip      twist_T         MTOW       W_fuel
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44        43090      10921.2
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42274.6        10000
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
         5.78        0.699            4         2.62        0.356       14.038        19.37        -0.44      42519.2      10276.4
