            L/D         L_mean         M_mean         C_mean         W_wing         W_frac             c1            cc1            cc2            cc3
        10.2888       0.517067        51211.8       -347.009        1067.64       0.851435       -1627.36        37.5047       -2.71115        37.5047
        10.3363       0.517067        51234.6       -356.289         1076.7       0.851435        -1820.8        39.7889       -2.66373        48.8489
        10.3385       0.517067        51233.8        -333.78        1073.69       0.851435       -1743.83          39.03       -2.66155          45.08
        10.2715       0.517067        51215.1       -347.785        1067.64       0.851435       -1627.36        37.5047       -2.72853        37.5047
        10.2857       0.517067        51216.1       -341.659        1068.82       0.851435       -1633.02        37.8022       -2.71427        38.9822
         10.418       0.516141        50880.5       -348.771        1074.94       0.851435       -1687.43        39.3452         -2.582        46.6452
            NaN       0.517067          50575       -214.949        1067.88       0.851435        -1627.3        37.5652            NaN        37.8052
        9.80782       0.517067        51503.3       -161.022        1067.41       0.851435       -1627.42        37.4467       -3.19218        37.2167
        10.2888       0.517067        51211.5       -347.009        1067.64       0.851435       -1627.36        37.5047       -2.71115        37.5047
        10.2866       0.517067        51211.8       -347.009        1067.64       0.851435       -1628.16        37.5047       -2.71336        37.5047
