      chord_R      taper_M      twist_R      twist_M    taper_tip         span    sweep_tip      twist_T         MTOW       W_fuel          L/D
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.11559          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474        0.505     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.68618      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.27803          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567        0.202      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.20178      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.2167    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.422115      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
      3.08474          0.5     -3.64968      4.23567          0.2      6.14038      20.0165    -0.417936      6991.39      4844.71      22.5829
